date,v,u,velocity,direction
2009-12-11 00,2.51E+00,-1.43E+00,2.95E+00,1.47E+02
2009-12-12 00,6.72E+00,-1.68E+00,6.99E+00,1.66E+02
2009-12-13 00,4.21E+00,-6.98E-01,4.29E+00,1.71E+02
2009-12-14 00,1.81E+00,-8.80E-01,2.23E+00,1.56E+02
2009-12-15 00,2.90E+00,-1.73E+00,3.40E+00,1.49E+02
2009-12-16 00,1.83E+00,-1.66E+00,2.68E+00,1.24E+02
2009-12-17 00,-1.64E+00,5.63E-02,1.70E+00,1.94E+02
2009-12-18 00,-1.86E+00,5.65E-01,1.98E+00,3.14E+02
2009-12-19 00,7.60E-01,-8.52E-01,1.38E+00,1.35E+02
2009-12-20 00,2.45E+00,-1.31E+00,2.80E+00,1.52E+02
2009-12-21 00,2.75E+00,1.07E+00,3.19E+00,2.00E+02
2009-12-22 00,-3.95E+00,1.95E+00,4.66E+00,3.28E+02
2009-12-23 00,-3.62E+00,1.04E+00,3.88E+00,3.39E+02
2009-12-24 00,-1.11E+00,3.29E-01,1.27E+00,2.84E+02
2009-12-25 00,-5.00E-01,-1.20E+00,1.55E+00,6.21E+01
2009-12-26 00,2.15E+00,-9.96E-01,2.44E+00,1.54E+02
2009-12-27 00,1.23E+00,-1.13E+00,2.62E+00,1.16E+02
2009-12-28 00,-1.46E+00,-5.46E-01,1.62E+00,3.48E+01
2009-12-29 00,9.91E-01,-3.44E-01,1.65E+00,1.77E+02
2009-12-30 00,9.18E-01,-8.73E-01,2.01E+00,1.29E+02
2009-12-31 00,2.05E+00,-1.63E+00,2.73E+00,1.35E+02
2010-01-01 00,2.07E+00,-1.48E+00,2.76E+00,1.40E+02
2010-01-02 00,-2.84E+00,-3.40E-01,3.03E+00,1.50E+02
2010-01-03 00,-8.72E-01,-6.99E-01,1.64E+00,1.30E+02
2010-01-04 00,-1.17E-02,-8.35E-01,1.29E+00,1.12E+02
