datetime,subcatchment_S42_Runoff_rate,runf_sum,date,year,month,day
2010-02-25,0.0,0.0,2010-02-25,2010,2,25
2010-02-26,0.47203615185553954,0.47203615185553954,2010-02-26,2010,2,26
2010-02-27,0.29717329867354625,0.29717329867354625,2010-02-27,2010,2,27
2010-02-28,0.0,0.0,2010-02-28,2010,2,28
2010-03-01,0.0,0.0,2010-03-01,2010,3,1
2010-03-02,0.2136793338746997,0.2136793338746997,2010-03-02,2010,3,2
2010-03-03,0.48723645167805535,0.48723645167805535,2010-03-03,2010,3,3
2010-03-04,0.01203983885158734,0.01203983885158734,2010-03-04,2010,3,4
2010-03-05,0.0,0.0,2010-03-05,2010,3,5
2010-03-06,0.0,0.0,2010-03-06,2010,3,6
2010-03-07,0.0,0.0,2010-03-07,2010,3,7
2010-03-08,0.0,0.0,2010-03-08,2010,3,8
2010-03-09,0.0,0.0,2010-03-09,2010,3,9
2010-03-10,0.09387110191109711,0.09387110191109711,2010-03-10,2010,3,10
2010-03-11,0.0,0.0,2010-03-11,2010,3,11
2010-03-12,0.3480446024610036,0.3480446024610036,2010-03-12,2010,3,12
2010-03-13,0.0,0.0,2010-03-13,2010,3,13
2010-03-14,0.0,0.0,2010-03-14,2010,3,14
2010-03-15,0.0,0.0,2010-03-15,2010,3,15
2010-03-16,0.0,0.0,2010-03-16,2010,3,16
2010-03-17,0.0,0.0,2010-03-17,2010,3,17
2010-03-18,0.0,0.0,2010-03-18,2010,3,18
2010-03-19,0.0,0.0,2010-03-19,2010,3,19
2010-03-20,0.0,0.0,2010-03-20,2010,3,20
2010-03-21,0.0,0.0,2010-03-21,2010,3,21
2010-03-22,0.0,0.0,2010-03-22,2010,3,22
2010-03-23,0.0,0.0,2010-03-23,2010,3,23
